,Unnamed: 0,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,DateTime,gage_height_m,discharge_cms
114,,,,117,8/17/1951,,,,,11.82,8920,,,,,,,,,,,,,,,,,,,,,,,1951-08-17 00:00:00,3.602736,252.58627160064003
115,,,,118,9/27/1951,,,,,11.52,8520,,,,,,,,,,,,,,,,,,,,,,,1951-09-27 00:00:00,3.511296,241.25953296384003
116,,,,119,11/9/1951,,,,,13.18,12400,,,,,,,,,,,,,,,,,,,,,,,1951-11-09 00:00:00,4.017264,351.1288977408
117,,,,120,12/17/1951,,,,,13.46,13100,,,,,,,,,,,,,,,,,,,,,,,1951-12-17 00:00:00,4.102608,370.95069035520004
118,,,,121,2/4/1952,,,,,15.82,19400,,,,,,,,,,,,,,,,,,,,,,,1952-02-04 00:00:00,4.821936,549.3468238848001
119,,,,122,3/14/1952,,,,,11.96,9920,,,,,,,,,,,,,,,,,,,,,,,1952-03-14 00:00:00,3.6454080000000006,280.90311819264
120,,,,123,4/22/1952,,,,,13.42,13800,,,,,,,,,,,,,,,,,,,,,,,1952-04-22 00:00:00,4.090416,390.77248296960005
121,,,,124,5/3/1952,,,,,13.4,12900,,,,,,,,,,,,,,,,,,,,,,,1952-05-03 00:00:00,4.08432,365.28732103680005
122,,,,125,6/16/1952,,,,,14.0,14000,,,,,,,,,,,,,,,,,,,,,,,1952-06-16 00:00:00,4.2672,396.43585228800004
123,,,,126,7/1/1952,,,,,13.04,10900,,,,,,,,,,,,,,,,,,,,,,,1952-07-01 00:00:00,3.974592,308.65362785280007
124,,,,127,9/2/1952,,,,,9.58,4620,,,,,,,,,,,,,,,,,,,,,,,1952-09-02 00:00:00,2.9199840000000004,130.82383125504003
125,,,,128,9/5/1952,,,,,10.94,7000,,,,,,,,,,,,,,,,,,,,,,,1952-09-05 00:00:00,3.334512,198.21792614400002
126,,,,129,10/17/1952,,,,,11.06,7260,,,,,,,,,,,,,,,,,,,,,,,1952-10-17 00:00:00,3.3710880000000003,205.58030625792003
127,,,,130,11/20/1952,,,,,11.14,7510,,,,,,,,,,,,,,,,,,,,,,,1952-11-20 00:00:00,3.3954720000000003,212.65951790592004
128,,,,132,1/20/1953,,,,,18.97,27700,,,,,,,,,,,,,,,,,,,,,,,1953-01-20 00:00:00,5.782056,784.3766505984001
129,,,,133,2/16/1953,,,,,13.67,12900,,,,,,,,,,,,,,,,,,,,,,,1953-02-16 00:00:00,4.166616,365.28732103680005
130,,,,134,3/23/1953,,,,,12.04,8710,,,,,,,,,,,,,,,,,,,,,,,1953-03-23 00:00:00,3.6697919999999997,246.63973381632005
131,,,,135,5/4/1953,,,,,14.63,14800,,,,,,,,,,,,,,,,,,,,,,,1953-05-04 00:00:00,4.459224000000001,419.08932956160004
132,,,,136,6/1/1953,,,,,15.78,17400,,,,,,,,,,,,,,,,,,,,,,,1953-06-01 00:00:00,4.809744,492.7131307008001
133,,,,137,7/6/1953,,,,,17.81,22400,,,,,,,,,,,,,,,,,,,,,,,1953-07-06 00:00:00,5.428488,634.2973636608001
134,,,,138,8/11/1953,,,,,14.86,15000,,,,,,,,,,,,,,,,,,,,,,,1953-08-11 00:00:00,4.5293280000000005,424.7526988800001
135,,,,139,9/14/1953,,,,,11.34,6800,,,,,,,,,,,,,,,,,,,,,,,1953-09-14 00:00:00,3.456432,192.55455682560003
136,,,,140,10/18/1953,,,,,13.71,11900,,,,,,,,,,,,,,,,,,,,,,,1953-10-18 00:00:00,4.178808,336.97047444480006
137,,,,141,11/23/1953,,,,,16.83,20300,,,,,,,,,,,,,,,,,,,,,,,1953-11-23 00:00:00,5.129784,574.8319858176001
