agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,DateTime,gage_height_m,discharge_cms
,,114,4/5/1951,,,,,14.25,15900,,,,,,,,,,,,,,,,,,,,,,,4/5/1951 0:00,4.3434,450.2378608
,,115,6/5/1951,,,,,16.42,20000,,,,,,,,,,,,,,,,,,,,,,,6/5/1951 0:00,5.004816,566.3369318
,,116,7/11/1951,,,,,14.98,17600,,,,,,,,,,,,,,,,,,,,,,,7/11/1951 0:00,4.565904,498.3765
,,117,8/17/1951,,,,,11.82,8920,,,,,,,,,,,,,,,,,,,,,,,8/17/1951 0:00,3.602736,252.5862716
,,118,9/27/1951,,,,,11.52,8520,,,,,,,,,,,,,,,,,,,,,,,9/27/1951 0:00,3.511296,241.259533
,,119,11/9/1951,,,,,13.18,12400,,,,,,,,,,,,,,,,,,,,,,,11/9/1951 0:00,4.017264,351.1288977
,,120,12/17/1951,,,,,13.46,13100,,,,,,,,,,,,,,,,,,,,,,,12/17/1951 0:00,4.102608,370.9506904
,,121,2/4/1952,,,,,15.82,19400,,,,,,,,,,,,,,,,,,,,,,,2/4/1952 0:00,4.821936,549.3468239
,,122,3/14/1952,,,,,11.96,9920,,,,,,,,,,,,,,,,,,,,,,,3/14/1952 0:00,3.645408,280.9031182
,,123,4/22/1952,,,,,13.42,13800,,,,,,,,,,,,,,,,,,,,,,,4/22/1952 0:00,4.090416,390.772483
,,124,5/3/1952,,,,,13.4,12900,,,,,,,,,,,,,,,,,,,,,,,5/3/1952 0:00,4.08432,365.287321
,,125,6/16/1952,,,,,14,14000,,,,,,,,,,,,,,,,,,,,,,,6/16/1952 0:00,4.2672,396.4358523
,,126,7/1/1952,,,,,13.04,10900,,,,,,,,,,,,,,,,,,,,,,,7/1/1952 0:00,3.974592,308.6536279
,,127,9/2/1952,,,,,9.58,4620,,,,,,,,,,,,,,,,,,,,,,,9/2/1952 0:00,2.919984,130.8238313
,,128,9/5/1952,,,,,10.94,7000,,,,,,,,,,,,,,,,,,,,,,,9/5/1952 0:00,3.334512,198.2179261
,,129,10/17/1952,,,,,11.06,7260,,,,,,,,,,,,,,,,,,,,,,,10/17/1952 0:00,3.371088,205.5803063
,,130,11/20/1952,,,,,11.14,7510,,,,,,,,,,,,,,,,,,,,,,,11/20/1952 0:00,3.395472,212.6595179
,,132,1/20/1953,,,,,18.97,27700,,,,,,,,,,,,,,,,,,,,,,,1/20/1953 0:00,5.782056,784.3766506
,,133,2/16/1953,,,,,13.67,12900,,,,,,,,,,,,,,,,,,,,,,,2/16/1953 0:00,4.166616,365.287321
,,134,3/23/1953,,,,,12.04,8710,,,,,,,,,,,,,,,,,,,,,,,3/23/1953 0:00,3.669792,246.6397338
,,135,5/4/1953,,,,,14.63,14800,,,,,,,,,,,,,,,,,,,,,,,5/4/1953 0:00,4.459224,419.0893296
,,136,6/1/1953,,,,,15.78,17400,,,,,,,,,,,,,,,,,,,,,,,6/1/1953 0:00,4.809744,492.7131307
,,137,7/6/1953,,,,,17.81,22400,,,,,,,,,,,,,,,,,,,,,,,7/6/1953 0:00,5.428488,634.2973637
,,138,8/11/1953,,,,,14.86,15000,,,,,,,,,,,,,,,,,,,,,,,8/11/1953 0:00,4.529328,424.7526989
,,139,9/14/1953,,,,,11.34,6800,,,,,,,,,,,,,,,,,,,,,,,9/14/1953 0:00,3.456432,192.5545568
,,140,10/18/1953,,,,,13.71,11900,,,,,,,,,,,,,,,,,,,,,,,10/18/1953 0:00,4.178808,336.9704744
,,141,11/23/1953,,,,,16.83,20300,,,,,,,,,,,,,,,,,,,,,,,11/23/1953 0:00,5.129784,574.8319858
,,142,12/24/1953,,,,,18.31,23000,,,,,,,,,,,,,,,,,,,,,,,12/24/1953 0:00,5.580888,651.2874716
,,143,1/26/1954,,,,,14.93,14300,,,,,,,,,,,,,,,,,,,,,,,1/26/1954 0:00,4.550664,404.9309063
,,144,3/24/1954,,,,,14.57,13500,,,,,,,,,,,,,,,,,,,,,,,3/24/1954 0:00,4.440936,382.277429
,,145,4/4/1954,,,,,15.61,16000,,,,,,,,,,,,,,,,,,,,,,,4/4/1954 0:00,4.757928,453.0695455
,,146,5/6/1954,,,,,15.02,14900,,,,,,,,,,,,,,,,,,,,,,,5/6/1954 0:00,4.578096,421.9210142
,,147,6/7/1954,,,,,17.95,21700,,,,,,,,,,,,,,,,,,,,,,,6/7/1954 0:00,5.47116,614.475571
,,148,7/20/1954,,,,,22.13,35300,,,,,,,,,,,,,,,,,,,,,,,7/20/1954 0:00,6.745224,999.5846847
,,149,8/20/1954,,,,,16.61,18400,,,,,,,,,,,,,,,,,,,,,,,8/20/1954 0:00,5.062728,521.0299773
,,150,9/25/1954,,,,,14.5,12600,,,,,,,,,,,,,,,,,,,,,,,9/25/1954 0:00,4.4196,356.7922671
,,151,10/28/1954,,,,,14.22,12600,,,,,,,,,,,,,,,,,,,,,,,10/28/1954 0:00,4.334256,356.7922671
,,152,12/8/1954,,,,,15.22,14500,,,,,,,,,,,,,,,,,,,,,,,12/8/1954 0:00,4.639056,410.5942756
,,153,1/14/1955,,,,,14.47,13700,,,,,,,,,,,,,,,,,,,,,,,1/14/1955 0:00,4.410456,387.9407983
,,154,2/21/1955,,,,,12.72,9350,,,,,,,,,,,,,,,,,,,,,,,2/21/1955 0:00,3.877056,264.7625156
,,155,4/13/1955,,,,,16.4,18000,,,,,,,,,,,,,,,,,,,,,,,4/13/1955 0:00,4.99872,509.7032387
,,156,5/20/1955,,,,,22.02,35800,,,,,,,,,,,,,,,,,,,,,,,5/20/1955 0:00,6.711696,1013.743108
,,157,6/23/1955,,,,,23.98,43200,,,,,,,,,,,,,,,,,,,,,,,6/23/1955 0:00,7.309104,1223.287773
